age,salary,credit_score,employment_months,existing_emi,loan_amount,default_history,missed_payments,bank_balance,loan_purpose,approved
21,107759,676,50,1062,745569,0,0,389453,Home,1
27,106231,733,18,751,413741,0,1,90624,Business,1
28,58722,710,136,1122,93377,1,1,52550,Personal,1
22,121027,595,99,7074,588416,0,1,453557,Home,0
56,178518,514,39,1300,354862,0,0,1022995,Car,0
65,66217,624,215,1472,61810,0,2,60966,Personal,0
34,149790,699,205,4404,329350,0,1,484212,Car,1
24,108043,787,72,1808,84514,1,5,158294,Education,1
18,191095,714,70,10363,189304,0,0,315457,Personal,1
37,49859,594,24,3304,48235,0,0,53851,Personal,0
36,181584,679,144,6274,761270,0,3,701409,Home,1
32,86380,713,156,2396,158867,0,0,280314,Personal,1
43,159669,721,59,3948,180714,0,1,100780,Education,1
45,124353,654,104,3459,117764,0,1,596452,Personal,1
44,93850,595,99,3162,137424,1,0,29543,Personal,0
36,135340,735,36,2633,180454,0,0,604841,Personal,1
27,88880,573,367,1479,134159,1,4,82377,Medical,0
48,104763,703,160,1470,113963,0,1,408659,Personal,1
40,152382,605,103,4922,375319,0,0,549509,Car,1
51,113265,481,78,5351,558538,1,5,61212,Home,0
49,128554,657,25,2182,212003,0,2,148981,Personal,1
23,163482,653,85,7171,165728,0,0,603867,Medical,1
23,203138,607,94,6736,331796,1,2,411320,Personal,1
31,93104,746,220,1530,337028,0,0,353741,Home,1
27,66930,542,19,1676,189127,0,1,256506,Car,0
49,76595,697,76,2165,99638,0,0,178126,Personal,1
44,160242,706,65,2643,569384,0,2,750957,Business,1
53,54489,678,51,1560,95753,0,1,77329,Personal,1
45,87513,648,42,1935,71016,0,2,392832,Personal,1
43,77370,590,162,2667,91409,1,4,309671,Personal,0
54,188264,649,49,1891,331010,0,2,414725,Personal,1
46,86814,711,260,5303,91211,0,0,435088,Personal,0
41,144051,583,65,7184,119843,0,2,147930,Personal,0
58,38321,508,57,1001,104820,0,1,100477,Car,0
41,69713,623,150,1967,196573,0,0,180511,Car,0
36,164493,625,74,4673,1056216,0,0,248579,Home,1
30,128446,527,83,2828,977680,1,3,238502,Home,0
48,82337,613,114,2457,115338,0,1,388724,Personal,0
55,99143,780,80,1825,139088,0,1,429347,Personal,1
39,113691,734,153,5971,867050,0,1,478734,Home,1
56,142490,703,31,4683,169436,0,0,526718,Personal,1
18,90102,680,18,2122,509422,1,1,159051,Home,0
39,103170,496,137,5010,92771,0,0,301193,Medical,0
40,102391,743,117,2012,122252,0,1,146586,Personal,1
31,180258,560,226,2431,679622,1,3,160568,Home,0
65,133338,608,159,6531,568902,0,2,554492,Business,1
39,104753,633,60,3832,252995,0,2,409122,Business,0
35,75712,669,103,3610,427860,0,1,342203,Home,0
40,123621,585,70,1917,105221,0,0,470163,Personal,1
18,164365,592,68,1948,130668,0,2,147090,Personal,1
31,89040,726,121,1253,855077,0,2,365084,Home,1
52,108981,796,56,3384,584355,0,0,599066,Home,1
32,48509,642,48,767,60970,0,0,70755,Personal,0
30,155339,713,117,4313,1035698,1,6,118427,Home,1
56,146510,646,19,1500,540753,0,1,617304,Car,1
56,171434,724,74,1140,142899,0,1,709831,Personal,1
46,155978,697,14,3929,1305762,0,1,641364,Home,1
35,96402,700,36,508,695626,0,1,15248,Business,1
37,178780,596,95,4483,116681,1,2,633714,Personal,0
30,130775,625,100,1710,113205,1,2,19694,Education,0
28,199499,662,100,6535,553680,0,0,663941,Car,1
27,112250,638,117,1326,479399,0,2,342863,Home,1
33,98815,701,37,2039,660897,0,1,394675,Home,1
28,169043,540,111,2082,192230,0,0,220249,Personal,1
21,155753,771,145,476,1091398,0,0,343215,Business,1
43,43111,766,91,1278,328973,0,1,103050,Home,1
43,138440,695,8,4357,170189,0,0,226983,Personal,1
60,90212,641,93,2122,499142,0,3,135723,Business,0
32,130032,638,32,6516,171664,1,3,324255,Personal,0
44,136108,630,29,7306,137545,0,0,234384,Personal,0
44,54259,689,95,1022,87187,0,2,92391,Personal,1
37,183441,625,101,9182,218220,0,1,724537,Personal,1
49,120975,628,79,1223,127762,0,1,135759,Personal,1
49,113957,545,177,4517,104081,1,1,292464,Medical,0
44,65374,666,76,981,46598,0,2,18425,Medical,1
37,96779,638,49,4241,251647,0,1,395686,Car,1
36,169105,780,124,4760,310847,0,0,367375,Personal,1
24,103597,664,59,1196,275765,0,2,78757,Car,1
30,188237,492,87,8856,558969,0,0,91382,Business,0
33,97744,689,104,4411,93052,0,0,226963,Personal,1
27,48450,678,131,1137,42946,0,3,197970,Medical,1
45,126943,612,188,2573,853232,0,2,519380,Home,1
54,110878,802,104,1920,517007,0,1,77610,Home,1
29,54529,680,15,2294,75407,0,1,153074,Personal,0
43,39722,602,138,356,198310,0,0,43269,Home,0
28,46134,756,86,599,308924,0,1,172748,Home,1
36,99168,672,56,733,647124,0,2,157070,Home,1
32,103339,651,97,3364,1023926,0,1,169068,Home,1
47,117964,616,64,2119,961115,0,0,77112,Home,1
32,50206,642,95,899,195242,0,1,42379,Business,1
52,119200,555,90,3551,195995,1,2,293721,Medical,0
37,37833,638,54,2455,160435,0,3,52390,Business,0
32,74105,591,79,3224,112798,0,0,200944,Personal,0
25,118289,740,152,2249,741298,0,0,231266,Home,1
43,136943,663,163,4832,556778,0,1,142966,Business,1
51,42829,765,26,2071,51609,0,2,70728,Personal,1
43,104194,758,35,1787,455345,0,0,50665,Home,1
65,78411,594,115,1654,372955,0,2,137716,Home,0
57,67839,668,80,1387,578403,0,0,22743,Home,1
36,62198,662,99,1190,108477,0,0,138256,Personal,0
36,120536,671,113,3513,556154,0,1,290344,Home,1
46,89258,740,49,4728,696452,0,0,478667,Home,1
30,120549,654,11,5443,280271,0,1,499037,Car,0
54,118951,668,73,3468,167727,0,0,118432,Medical,1
44,129915,663,189,4875,1264294,0,2,604205,Home,1
43,94906,662,67,4983,159820,0,0,380850,Car,0
48,111990,593,145,298,265418,0,3,168266,Car,1
61,124493,620,125,4201,100970,0,0,406656,Medical,0
42,117080,501,48,2344,262418,1,2,236802,Personal,0
39,135057,687,78,3853,410026,0,1,263069,Business,1
58,89795,672,118,3709,703773,0,1,435420,Home,1
52,107119,677,41,4814,365699,0,2,454430,Car,0
36,22194,763,33,375,99786,0,3,40118,Home,0
40,62974,705,79,454,281496,0,1,209482,Home,1
42,59766,744,122,1835,224130,0,1,137621,Business,1
44,124654,736,63,2159,814084,1,2,556509,Home,1
24,115437,779,91,4450,110609,0,0,53657,Medical,1
21,153613,750,54,7300,160386,0,2,367135,Personal,1
29,123323,601,4,3501,241776,0,2,443764,Car,0
28,107157,705,77,2637,233744,0,1,10793,Car,1
32,110740,709,44,2997,628682,0,1,224004,Home,1
48,97504,691,90,2250,601331,0,1,466681,Home,1
38,67824,802,102,3414,599605,0,1,272859,Home,1
42,43414,679,70,1624,47148,1,4,159840,Personal,0
25,100650,701,158,1128,92801,0,1,285509,Medical,1
34,164844,657,56,3391,426563,0,1,330433,Home,1
47,131219,649,119,6933,1361555,0,1,191321,Home,1
47,114848,637,103,1514,556398,0,0,307993,Home,1
31,179870,598,97,5127,282180,1,4,389738,Personal,0
42,115241,691,189,3356,177298,0,0,519481,Personal,1
65,90789,780,20,6110,398791,0,4,139741,Business,0
40,147785,649,16,8235,482381,0,1,263540,Business,0
32,88103,683,99,418,107768,0,0,349233,Personal,1
38,65649,603,27,3612,80077,0,0,239879,Medical,0
41,88510,536,62,319,138841,0,0,206737,Personal,0
38,62483,661,55,3476,242394,0,0,273066,Home,0
40,128934,615,130,3075,861562,1,3,296769,Home,0
23,46007,592,55,1258,175964,1,6,116805,Home,0
28,128818,543,33,1457,486450,0,0,505621,Business,0
38,135385,553,83,4031,143422,1,6,468255,Personal,0
38,122630,671,86,3737,65089,1,1,271391,Personal,1
33,150554,793,80,4715,144695,0,0,59554,Personal,1
38,125789,622,38,1513,319047,1,3,522621,Car,0
41,49447,698,96,793,102468,0,0,56007,Car,1
51,163082,594,35,4482,781441,0,1,330391,Business,1
39,85867,611,30,4521,478664,0,0,341458,Home,0
45,161444,555,89,5999,484185,0,0,545116,Home,1
34,109931,636,79,2499,122432,0,1,135231,Personal,1
47,187625,501,268,6334,208013,1,2,543233,Personal,0
45,121226,589,139,396,295205,1,2,127354,Home,1
50,96515,630,86,2906,434056,0,1,381078,Home,1
49,54575,622,88,791,49317,0,1,228775,Personal,1
47,49126,689,22,3288,46593,0,0,92001,Personal,0
39,173384,709,127,1100,182896,0,0,666392,Education,1
43,121031,649,65,3917,803756,0,0,372583,Home,1
53,85425,735,63,2302,571928,0,1,242538,Home,1
32,75466,534,100,2137,438860,1,3,86146,Home,0
32,183741,711,118,3584,1287504,0,4,363829,Home,1
42,138603,649,89,1846,158586,1,4,277053,Personal,0
45,147558,549,157,5823,173004,0,2,254495,Medical,0
30,51152,716,91,1170,22132,0,0,56385,Medical,0
39,55570,680,122,816,67539,0,1,86535,Personal,1
39,36177,622,25,1439,40849,0,1,156019,Personal,0
18,147186,733,36,7355,1417485,0,0,74783,Home,1
37,157918,663,145,9566,732893,0,0,432764,Home,1
38,123989,720,67,9474,795556,0,0,381977,Home,1
38,76709,685,69,300,86178,0,0,269449,Education,1
57,155295,582,91,7853,65613,0,1,443979,Education,0
25,57050,544,19,679,232476,1,2,97889,Car,0
30,91761,583,19,3428,70371,0,1,270613,Personal,0
18,145895,681,146,1699,506061,0,1,457024,Car,1
34,141898,622,44,0,128911,0,1,79231,Education,1
35,79073,684,165,1987,377343,0,0,125334,Home,1
34,44697,620,126,2464,111331,0,0,154245,Car,0
53,117115,537,76,1157,79674,1,2,631604,Medical,0
50,109432,690,107,1731,106701,0,0,33500,Personal,1
41,89093,723,93,960,526130,0,2,158958,Business,1
36,56943,648,37,898,218425,0,0,245917,Home,0
52,84571,642,22,191,513648,1,4,308155,Home,1
40,97039,726,28,1408,534387,0,1,109173,Home,1
30,106915,700,73,4976,288138,0,1,451951,Car,1
19,175524,748,82,5968,175025,0,1,226798,Personal,1
35,120841,728,152,8967,444595,0,1,322437,Home,0
49,36066,615,111,106,180322,1,4,122468,Home,0
65,128936,634,209,4617,148493,0,0,456876,Personal,1
41,116800,662,205,2736,47799,0,0,395934,Personal,1
31,43264,644,63,813,73407,0,0,167775,Car,0
26,97404,626,78,1693,453181,0,0,240330,Home,1
47,62440,695,81,3422,182684,0,0,327616,Car,0
19,122144,673,76,2003,420216,0,0,444348,Business,1
47,134112,624,70,3087,372936,0,1,68259,Business,1
50,58434,584,113,1330,99180,1,2,164967,Personal,0
45,172761,673,25,10065,493684,0,2,834713,Car,1
37,99381,617,75,1733,143521,0,0,120237,Car,1
47,90688,622,74,934,128186,0,1,164578,Personal,1
42,48782,602,79,1268,48145,0,1,204470,Education,0
31,66031,633,167,1566,204772,0,2,117533,Car,1
62,73117,620,43,2029,278126,1,4,124396,Business,0
36,17699,735,67,383,14805,0,1,25857,Medical,0
49,130298,642,116,6925,622709,0,0,662624,Business,1
18,43829,559,52,540,317364,1,3,96716,Home,0
55,60404,666,5,1115,120216,1,3,280042,Personal,0
58,153776,744,65,1208,734361,0,0,276476,Home,1
40,141673,654,93,6989,98628,0,1,547018,Personal,1
47,26893,647,96,1560,29752,0,1,48516,Personal,0
47,137827,546,120,2138,485413,0,3,228694,Car,1
32,55336,647,62,2732,66032,0,0,245076,Medical,0
47,127432,612,38,5728,329795,1,2,369383,Car,0
30,62409,534,160,1117,200222,1,5,180905,Business,0
33,68382,587,56,3834,411114,0,1,210645,Business,0
54,93961,745,70,2606,109197,0,0,207679,Personal,1
52,94985,725,48,2012,444359,0,1,32129,Business,1
32,69698,748,118,3782,92035,0,1,189188,Personal,1
31,121547,663,23,3505,296410,0,2,36595,Car,0
32,98013,514,108,6891,789776,1,3,378242,Home,0
49,153230,680,53,4345,131989,0,1,481532,Education,1
28,142453,825,173,6187,159087,0,3,93421,Medical,1
44,29884,574,75,1432,76728,0,0,28110,Home,0
49,145189,541,44,5054,684206,1,3,135304,Home,0
39,22237,587,158,407,110210,1,3,6050,Business,0
52,113937,703,32,1117,163367,1,4,356739,Personal,0
36,178427,510,65,4583,113479,0,3,356169,Personal,0
37,243678,696,79,2580,1436624,0,0,948082,Home,1
28,89078,629,50,4126,437210,1,3,56132,Home,0
52,79615,654,56,5010,64832,0,1,56888,Personal,0
31,174420,692,56,6397,847280,0,1,250521,Home,1
44,35507,633,80,2171,28934,0,3,83004,Personal,0
39,109834,650,217,3220,1056253,0,1,51493,Home,1
27,133688,663,84,1040,1054800,0,1,297124,Home,1
33,158766,732,161,6393,783325,0,2,556552,Business,1
57,135425,652,72,3774,170242,0,1,358744,Personal,1
42,107016,546,226,3310,162330,0,1,31492,Car,0
28,115136,679,113,3190,158322,0,2,431686,Personal,1
44,107058,700,32,6484,169618,0,0,292803,Business,0
38,121965,829,34,1444,293130,0,0,79910,Car,1
65,127909,672,12,7404,164552,0,2,653283,Personal,0
43,69278,723,54,3063,88625,0,2,26466,Personal,1
35,52741,665,130,892,274129,0,2,81590,Home,1
57,141026,673,141,5080,533023,0,0,406034,Business,1
18,106045,749,70,5033,988534,0,0,103797,Home,1
41,132008,802,87,4644,707448,0,1,133411,Home,1
64,109098,698,42,1155,99303,0,1,90103,Education,1
39,106442,751,17,1602,132158,0,0,333923,Personal,1
19,70230,479,127,1447,148124,1,2,233727,Car,0
35,71738,582,126,1839,217004,1,2,196207,Car,0
57,182879,617,25,8842,195647,1,3,31893,Personal,0
45,137730,687,101,2795,823710,0,0,160604,Home,1
30,173819,584,86,6682,1081913,1,7,16431,Home,0
32,69135,628,107,1159,105625,0,2,203624,Education,1
33,66401,668,110,3096,497533,0,2,193016,Home,0
44,94732,731,33,3254,145842,0,1,218518,Personal,1
56,78094,670,128,4571,169175,0,1,399350,Car,0
53,100408,706,43,2171,329623,0,0,144893,Car,1
45,174164,645,146,8168,325321,0,1,690945,Personal,1
24,78323,618,93,2805,103561,0,0,24976,Personal,1
24,94260,764,47,5025,192818,0,2,257017,Personal,1
46,136853,672,119,4910,83608,1,4,500403,Education,0
24,132214,577,238,5889,330308,1,1,418423,Business,0
37,179868,646,118,9035,182856,0,0,231659,Personal,1
44,130580,730,54,4231,408913,0,2,354582,Business,1
26,77872,567,111,4269,516060,1,2,109197,Home,0
28,101059,593,222,5944,384952,0,0,38611,Home,0
39,73440,588,155,3767,147771,0,1,137138,Personal,0
46,107038,683,114,699,100473,0,0,243089,Personal,1
53,102936,621,88,4149,466846,1,4,55960,Business,0
47,67340,569,166,4428,475300,1,4,233370,Home,0
41,85113,573,78,1343,704862,0,1,277180,Home,1
31,57572,736,74,2896,169188,0,1,225931,Car,0
27,102942,658,30,2940,738362,0,2,144569,Home,0
34,170953,686,24,5101,1103232,0,0,456092,Home,1
45,104928,644,158,5084,524006,0,3,50432,Business,0
44,151845,561,101,2721,139234,0,1,310938,Personal,1
18,159525,711,219,3888,532017,0,2,475324,Home,1
31,95722,619,119,2241,754094,0,2,275050,Home,1
54,98438,691,98,4207,553489,0,1,256548,Home,0
41,95269,629,110,1058,297566,0,3,468041,Business,1
23,44773,606,14,1693,190354,1,2,56480,Business,0
65,68515,688,58,2912,79394,0,1,173754,Personal,0
40,128159,627,85,6511,132756,0,0,109412,Education,0
45,65514,792,187,1346,450737,0,2,200205,Home,1
45,102180,742,122,2109,729028,0,0,348279,Home,1
36,116927,566,73,2107,473716,1,0,487681,Home,0
31,127661,666,85,5594,669900,1,4,281464,Home,0
65,141681,642,33,6314,106413,0,1,23879,Personal,0
52,99666,610,88,2105,267501,0,3,480894,Car,1
50,132381,596,87,3504,99991,0,2,482085,Personal,0
47,57467,628,112,521,61221,0,1,171418,Car,0
28,52844,762,59,2078,357764,0,0,123750,Home,1
55,79507,691,85,3803,92176,0,1,122893,Medical,1
30,128503,666,41,1998,381412,1,0,414566,Car,0
43,123665,566,17,4888,144241,0,1,601125,Personal,0
20,81125,407,148,1513,99239,0,1,160655,Personal,0
18,125335,586,32,4340,178499,0,1,101753,Personal,1
44,121188,758,166,3824,224969,0,0,445090,Car,1
30,141225,630,75,4795,129825,0,0,270373,Personal,1
18,57450,619,34,1929,58970,0,0,25720,Education,0
46,54758,711,80,3657,61359,1,3,140049,Medical,0
65,63096,662,36,469,49084,1,0,194561,Personal,0
57,54594,607,71,2149,337722,1,4,14197,Business,0
37,82272,692,72,2352,325877,0,0,126069,Home,1
40,50461,698,38,3381,144237,0,1,46573,Car,0
51,152389,820,262,5044,1089204,0,0,244412,Home,1
53,94326,752,106,3418,363752,0,2,295904,Business,1
36,163908,635,40,4170,222397,0,3,664596,Personal,1
40,76796,659,35,1450,84960,0,2,120577,Education,1
44,174083,568,32,4467,240665,0,1,604144,Personal,0
47,149502,645,79,3426,207972,0,0,358400,Personal,1
38,48946,694,60,1008,132342,1,2,213118,Car,0
39,138127,657,89,3530,239607,0,2,233191,Personal,1
57,171219,578,282,5004,173262,0,0,868686,Personal,1
55,207955,615,65,2339,739990,0,0,986463,Car,1
46,55872,610,234,2183,220884,0,0,195989,Business,0
61,54462,702,90,2856,62156,0,1,153302,Personal,0
35,110363,699,33,567,253391,0,0,489973,Business,1
59,135568,666,58,3725,254356,1,2,762795,Car,1
47,142093,694,36,4834,1644343,0,0,201875,Home,1
65,42951,639,92,327,51900,0,2,66187,Personal,0
26,47568,599,65,859,52538,0,1,76234,Personal,0
32,57855,643,88,1344,383590,0,3,29324,Home,0
45,34339,666,105,1100,29696,0,0,177583,Personal,0
45,34781,677,64,223,86991,0,1,70821,Car,0
63,75888,618,132,3090,112358,0,0,475244,Personal,0
32,113832,539,77,6161,74227,1,4,356296,Medical,0
51,93799,673,57,1482,115774,0,0,429755,Personal,1
54,76326,529,80,2027,455204,1,6,311628,Home,0
48,33654,633,61,1775,31656,0,3,94334,Personal,0
28,155482,547,68,4952,138092,0,0,578956,Medical,0
57,159177,736,68,2573,1309312,0,2,614494,Home,1
55,63784,713,40,517,284545,0,1,222648,Business,1
47,153600,718,86,3117,553891,0,0,21132,Car,1
42,176154,572,84,6499,803895,0,0,313922,Business,1
43,139510,556,78,7778,108750,1,2,543706,Personal,0
39,107560,807,84,3843,472715,0,1,128684,Home,1
48,211948,666,275,11492,912791,0,1,51183,Business,1
40,138426,526,56,5273,94193,1,4,226926,Education,0
30,159524,629,39,5716,148688,0,1,508831,Medical,1
27,99481,596,63,1337,330691,0,1,25209,Home,1
31,117680,709,76,4330,155827,0,2,398672,Personal,1
43,102461,580,184,3395,130861,1,3,220822,Personal,0
40,80063,623,51,2294,82001,0,0,62481,Medical,0
43,24657,705,45,955,92845,0,1,27590,Business,0
46,61698,675,64,903,129145,0,1,157830,Car,1
32,52858,626,24,633,132929,0,0,16616,Car,0
58,67609,583,83,2593,357678,1,2,332580,Business,0
37,145688,676,84,2648,720645,1,3,94701,Business,1
35,159171,526,109,3770,648229,0,1,304798,Car,1
46,68038,682,37,1744,65165,0,0,299895,Personal,0
18,158262,660,175,3245,397450,0,1,29927,Car,1
31,150642,635,73,2806,176398,1,4,130335,Personal,0
52,69004,587,122,2885,224456,0,3,214428,Business,0
19,138618,683,23,8744,460871,1,0,440115,Home,0
53,136215,675,87,1867,112129,0,0,268914,Personal,1
58,68481,597,88,2010,305491,1,4,177974,Business,0
36,134518,490,119,2111,131020,0,1,315084,Personal,1
44,145521,662,63,1993,164895,0,2,173505,Medical,1
53,78537,738,43,1189,58513,0,1,61217,Education,1
34,154069,636,67,3433,137925,1,2,542810,Medical,0
50,161044,634,153,3250,945250,0,1,108718,Home,1
32,195413,674,89,5452,694260,1,2,416255,Business,1
34,97591,600,44,620,577923,0,0,225150,Home,1
30,42853,640,87,260,219225,0,0,9693,Business,1
44,61589,729,122,2375,237708,0,0,278528,Home,1
54,160748,673,169,4737,660402,0,1,187021,Business,1
38,126574,777,102,7051,775739,0,2,139592,Home,1
25,169470,671,22,3267,231836,0,0,648053,Personal,1
27,148001,701,35,5036,446428,1,3,112042,Business,0
45,199252,623,6,671,1381437,1,1,492908,Home,0
62,107154,641,67,5761,608025,1,1,301949,Home,0
45,174249,672,86,5250,351070,0,2,329896,Business,1
35,54297,744,213,765,46950,0,1,32773,Personal,1
49,61229,648,45,952,419532,0,0,105951,Home,1
37,144862,722,98,2598,544165,0,1,397230,Business,1
35,186226,747,93,7909,756506,0,0,615200,Business,1
28,171295,797,67,4540,1212614,0,1,571566,Home,1
57,91129,672,63,5746,63129,1,1,165233,Education,0
18,172232,687,173,8850,756784,0,1,216318,Business,1
50,82984,622,37,3573,101861,0,0,384833,Personal,0
34,121690,684,105,884,942429,0,1,130463,Home,1
35,104634,695,39,2931,128868,0,1,473682,Personal,1
60,61184,650,149,1267,353209,0,3,102187,Home,0
31,81099,568,31,5799,213552,1,2,188996,Business,0
32,62382,635,45,825,156698,0,1,42641,Car,0
38,59966,484,18,1728,310321,1,3,281785,Home,0
45,45035,652,19,600,97164,0,0,232162,Business,1
35,131547,584,59,1704,616579,0,1,95609,Business,1
21,174177,688,174,8029,554500,0,3,216065,Car,1
30,166927,819,56,305,195581,0,2,105632,Personal,1
55,52337,726,95,1489,126691,0,0,201905,Business,1
41,133554,610,176,6687,578581,0,3,25553,Business,0
45,132802,738,121,1572,385894,0,1,31131,Car,1
37,127470,682,9,4633,254810,0,0,591299,Car,1
32,126897,704,192,5094,830774,0,0,378696,Business,1
60,104784,647,121,3380,718830,1,1,17190,Home,0
38,104297,731,44,2211,81067,0,0,69533,Personal,1
35,108699,603,48,4362,109438,0,0,320122,Personal,1
53,64996,532,119,1814,167673,0,1,234177,Car,0
31,60198,617,76,1226,64246,1,2,79859,Personal,0
33,170461,683,55,1554,1274255,0,0,523276,Home,1
40,96750,620,94,4002,640693,0,1,121479,Home,0
40,154172,718,138,763,407041,0,1,287091,Car,1
43,66620,674,110,3402,80135,0,0,116523,Medical,0
65,173934,624,123,3421,176461,0,2,167681,Personal,1
44,165707,664,262,9146,92474,0,0,353679,Education,1
18,124194,440,104,2349,212681,0,1,342875,Personal,0
44,92162,703,103,3691,75690,0,1,138482,Personal,1
40,23379,677,147,756,60507,0,1,77664,Business,0
41,36812,603,64,2026,120368,0,0,164081,Home,0
43,156827,727,22,3002,129199,0,2,497627,Medical,1
40,134432,626,57,1983,110534,0,0,331315,Personal,1
39,131341,671,71,4993,146128,0,0,64109,Personal,1
47,154684,635,273,4878,182505,0,3,418217,Business,1
33,74155,538,12,443,402784,1,4,65034,Home,0
29,155472,637,103,5637,142620,0,0,637043,Personal,1
65,111968,534,70,4102,96650,0,1,17516,Medical,0
31,183050,663,43,3174,602051,0,0,277852,Business,1
41,108702,665,110,491,474417,0,2,432718,Home,1
22,134359,689,85,4566,1162906,0,1,162062,Home,1
41,77153,607,92,843,356044,0,1,58364,Business,0
29,57182,587,68,1461,60871,1,3,209658,Education,0
35,86788,685,125,2883,447052,0,0,83632,Home,1
53,68421,502,253,2717,112308,0,1,139065,Personal,0
46,56364,672,55,2537,251618,0,1,130787,Business,0
47,132867,740,63,4901,422253,0,0,214222,Car,1
19,96149,629,148,3405,107077,0,3,175634,Personal,1
62,173716,737,234,1335,1017702,0,1,771871,Home,1
26,174077,683,69,6176,207239,0,1,638988,Car,1
58,38818,749,63,593,90457,0,0,197409,Car,1
52,166148,698,47,3112,226584,0,0,327007,Personal,1
47,171061,638,58,4187,210104,0,3,321326,Medical,1
30,89780,655,53,2218,386260,0,1,223187,Business,1
42,126480,617,118,1075,114172,0,1,460116,Education,1
34,130930,602,95,4317,127592,1,2,415431,Personal,0
40,113990,692,21,1840,730896,0,3,430877,Home,1
37,26657,653,25,1026,18578,0,1,98999,Medical,0
18,110873,607,112,1569,457821,0,1,343793,Home,1
53,46074,741,135,2853,274617,0,0,262432,Home,0
39,164728,692,91,7826,418404,0,3,805353,Business,1
34,141061,474,24,5743,284930,1,4,646668,Car,0
33,159127,700,106,3244,1178296,0,1,577251,Home,1
44,112779,607,31,3929,843790,1,1,402512,Home,0
29,147376,731,73,6500,818069,0,0,227002,Home,1
18,96818,719,135,3688,342253,0,1,39993,Business,1
45,77931,741,177,1769,82371,0,0,399685,Personal,1
46,69169,707,62,1814,272594,0,3,30925,Business,1
38,73597,744,75,358,484959,0,0,297852,Home,1
26,54245,505,52,1318,37799,1,0,175166,Personal,0
41,167876,545,188,11406,217904,1,3,544258,Personal,0
22,77844,724,19,3088,394936,0,1,278409,Home,1
28,80683,564,72,3358,354388,0,2,164886,Home,0
31,100464,635,76,3719,644858,1,7,91270,Business,0
50,55635,721,70,1454,175203,0,0,95510,Car,1
36,201570,838,40,3717,1128770,0,0,313191,Home,1
35,106634,681,91,2181,116831,0,0,362095,Personal,1
63,166958,667,76,4408,208369,0,2,434462,Personal,1
44,155395,517,73,7416,801040,0,1,538771,Business,0
44,78144,687,151,832,154311,0,2,72554,Personal,1
36,54212,658,194,2361,65343,0,2,220641,Personal,0
33,100654,724,25,5687,499145,0,0,373133,Home,1
18,147790,699,77,6894,174488,0,0,379874,Personal,1
52,34166,727,98,282,118118,0,1,69743,Car,1
45,73927,584,101,468,338988,0,2,18876,Business,0
38,122178,716,48,2052,79315,1,4,136156,Personal,1
38,159901,618,168,5934,192294,1,1,716536,Education,0
49,68041,582,41,1120,316486,1,0,201526,Business,0
21,153917,636,44,2466,173679,0,1,25198,Personal,1
33,88012,661,14,2943,223100,0,0,167887,Car,0
26,147626,674,98,4408,1013397,1,8,608822,Home,0
61,24193,571,75,1245,80307,1,3,19858,Car,0
51,148725,744,152,2352,827488,0,1,438687,Home,1
18,85372,716,40,1584,100082,1,3,269943,Personal,1
22,129373,738,159,2199,568719,0,0,425855,Home,1
38,146144,775,113,7318,132520,0,2,444663,Education,1
34,86604,623,28,2795,103823,0,0,90865,Education,0
24,80651,757,100,1167,294450,0,0,54116,Car,1
63,82406,625,78,1409,60258,0,0,432650,Personal,1
44,108663,681,80,3650,109927,0,1,276879,Education,1
46,191613,719,170,8049,234333,1,2,464376,Personal,1
32,104781,658,135,2555,121540,0,4,415126,Personal,1
49,151637,716,98,5907,458121,0,0,241055,Home,1
35,121274,604,120,4919,261425,0,2,346241,Car,0
37,56377,664,65,1302,74080,0,1,23410,Personal,1
47,41045,705,56,1108,173878,0,1,205695,Business,0
20,185445,682,46,8059,366274,0,0,604291,Personal,1
59,214508,565,124,5020,492057,0,0,595178,Business,1
42,51261,621,79,1690,336904,1,1,116257,Home,0
55,76145,630,96,1305,96746,0,0,181105,Personal,1
27,96644,685,109,1660,126718,0,1,144460,Personal,1
29,74718,782,138,1514,120046,0,0,279405,Personal,1
26,167920,564,126,1631,240471,1,2,240753,Personal,0
43,92166,593,138,4291,422255,0,1,359034,Home,0
41,93498,770,144,1060,109243,0,0,155755,Personal,1
34,57029,726,65,670,167562,0,1,136828,Car,1
28,21792,673,39,774,66022,0,1,40140,Business,0
25,189705,690,54,5393,291081,0,0,50582,Education,1
39,76872,704,78,260,669810,0,3,252827,Home,1
34,185091,674,146,1416,1048617,0,0,845181,Home,1
32,68395,667,42,2078,74273,0,2,65236,Education,0
59,56547,755,132,2336,443883,0,2,140517,Home,1
39,139826,546,98,3039,145587,0,0,257513,Medical,0
55,99751,747,59,4245,136271,0,1,482930,Personal,1
34,131084,571,129,416,79943,1,2,605839,Personal,0
43,37064,763,63,574,84962,0,1,118665,Car,1
39,132913,651,85,1166,144028,0,1,405262,Medical,1
20,110339,643,17,3921,85486,0,0,206906,Personal,1
57,163187,574,106,3299,1068536,0,1,397193,Home,1
38,188497,723,175,886,957245,0,2,67273,Home,1
49,182264,689,72,6389,229285,0,1,194075,Personal,1
31,164364,655,11,4023,206638,0,0,689148,Education,1
38,57209,598,176,4011,82704,0,1,176119,Personal,0
30,34727,731,64,1143,106363,0,1,5099,Car,1
